FECHA,PM10,TEMP,HUMEDAD,DIR VIENTO ,Monto V,Velocidad V,Tem/Hum,Tem/Hum/Vient,PRESION ATM,LLUVIA,Intens lluv,RADIACION SOL,Radiac acum,Max Rad,UV Intens,Max UV,DENSIDAD AIRE
JUL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AGO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SEP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OCT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NOV,15.85,15.75,81.31,6.73,0.09,3.51,16.95,16.72,553.58,0.00,0.05,165.10,14.59,150.11,1.71,1.32,0.86
DIC,21.60,16.47,74.93,8.05,0.99,3.43,16.35,16.07,551.14,0.02,0.18,170.64,2.45,208.99,2.05,2.43,0.87
ENE,16.70,16.44,64.05,8.30,1.68,5.75,15.95,15.51,551.42,0.00,0.03,131.07,1.88,169.70,1.76,2.26,0.88
FEB,17.80,16.87,70.43,6.81,0.94,3.47,16.63,16.46,551.39,0.01,0.06,159.97,2.29,203.07,2.06,2.56,0.87
MAR,21.87,16.99,73.73,8.01,0.94,3.30,16.89,16.68,551.28,0.01,0.13,161.31,2.31,196.55,2.09,2.50,0.87
ABR,17.80,17.49,67.37,7.31,0.89,3.73,17.22,17.16,551.05,0.00,0.00,140.82,2.02,181.28,1.85,2.36,0.87
MAY,18.37,17.47,65.66,7.69,1.29,4.63,17.14,16.92,551.91,0.00,0.03,147.97,2.12,185.75,1.77,2.19,0.87
JUN,15.72,16.87,67.48,8.27,1.71,5.68,16.56,16.01,552.12,0.01,0.02,135.08,1.94,174.02,1.55,1.97,0.88
JUL,16.01,17.02,64.89,8.24,1.74,5.85,16.61,16.05,552.07,0.01,0.05,149.04,2.14,182.70,1.75,2.15,0.88
AGO,18.06,16.96,63.96,8.39,1.80,5.83,16.52,15.97,552.05,0.00,0.01,129.03,1.85,163.69,1.47,1.93,0.88
SEP,22.20,17.72,56.82,8.60,1.93,6.30,17.03,16.46,551.51,0.00,0.00,168.26,2.41,214.64,1.71,2.22,0.87
OCT,21.60,17.75,61.41,7.68,1.40,4.77,17.24,16.97,552.15,0.00,0.00,164.00,2.35,210.08,1.80,2.27,0.87
NOV,16.80,17.41,68.77,6.80,1.33,4.44,17.21,16.87,549.87,0.02,0.18,109.95,1.58,135.83,1.31,1.61,0.87
DIC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FEB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ABR,16.70,17.47,67.25,8.1 ,1.31,4.16,17.23,17.08,551.13,0.00,0.00,138.61,1.99,158.92,1.73,1.95,0.8706
